2016/1/2,1,1,1,normal,normal,info,39,葡超,2016/1/3 0:00,博阿维斯塔,摩雷伦斯,博阿维斯塔,摩里伦斯,2.31,2.8,3,5.8,3.75,1.45,-1,0:3,0,3,0,0
2016/1/2,1,1,1,normal,normal,info,40,葡超,2016/1/3 0:00,葡萄牙国民,阿罗卡,国民队,阿鲁卡,1.85,3.15,3.75,3.85,3.5,1.72,-1,2:2,2,2,1,0
2016/1/2,1,1,1,normal,normal,info,41,葡超,2016/1/3 0:00,马里迪莫,埃斯托里尔,马里迪莫,伊斯托里尔,1.91,3.1,3.6,4.05,3.55,1.67,-1,1:1,1,1,1,0
2016/1/2,1,1,1,normal,normal,info,42,葡超,2016/1/3 0:15,塞图巴尔,布拉加,塞图巴尔,布拉加,4.5,3.35,1.66,1.93,3.35,3.2,1,1:1,1,1,1,3
2016/1/2,1,1,1,normal,normal,info,43,法国杯,2016/1/3 1:00,尚布利,兰斯,尚布利,兰斯,4.25,3.1,1.77,1.8,3.35,3.65,1,4:1,4,1,3,3
2016/1/2,1,1,1,normal,normal,info,44,法国杯,2016/1/3 1:00,敦刻尔克,特鲁瓦,敦刻尔克,特鲁瓦,2.75,3,2.34,1.47,3.9,5.3,1,2:2,2,2,1,3
2016/1/2,1,1,1,normal,normal,info,45,法国杯,2016/1/3 1:00,圣格拉蒂安,图卢兹,圣格拉蒂安,图卢兹,6,3.75,1.45,2.32,3.3,2.53,1,0:5,0,5,0,0
2016/1/2,1,1,1,normal,normal,info,46,英超,2016/1/3 1:30,沃特福德,曼彻斯特城,沃特福德,曼城,4.55,3.75,1.54,2.06,3.55,2.76,1,1:2,1,2,0,1
2016/1/2,1,1,1,normal,normal,info,47,法国杯,2016/1/3 1:30,穆兰,尼奥尔,穆兰,尼奥尔,4,3.1,1.82,1.75,3.4,3.8,1,1:2,1,2,0,1
2016/1/2,1,1,1,normal,normal,info,48,葡超,2016/1/3 2:00,费雷拉,比兰尼塞斯,费雷拉,比兰伦斯,1.7,3.25,4.4,3.3,3.4,1.88,-1,2:2,2,2,1,0
2016/1/2,1,1,1,normal,normal,info,49,葡超,2016/1/3 2:30,吉马良斯,本菲卡,甘马雷斯,本菲卡,6,3.8,1.44,2.34,3.35,2.5,1,0:1,0,1,0,1
